2026.05.19 - 14.12.20

creationTime:Sat Apr 04 00:00:00 UTC 2026-Sat Apr 04 23:59:59 UTC 2026 ,messageType:FPL 
Direction	 Temps de Création	 Prio	 FamilyId	 Destinataires	 First Recipient Address	 FilTim	 Origine	 Circuit	 EMID	 IMID	 Incomplete Pathname	 IPM Identificateur	 Type	 First Reported Recipient	 Code du Motif	 Code de Diagnostic	 Texte
Output	 2026-04-04 00:03:14.391	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000313Z-0236	 [DRRRZQZX]	 DRRRZQZX	 041203	 DFFDFDPA	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000313Z-0236	 adBVQgDboEQc	 	 MTCU-DFFF-1-20260404000313Z-0236:previd=341.1775260993.1612*/OU=DFFDFDPA/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:03:14.398	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000313Z-0236	 [CYSJAENX]	 CYSJAENX	 041203	 DFFDFDPA	 AMH	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000313Z-0236	 adBVQgDboEQc	 	 MTCU-DFFF-1-20260404000313Z-0236:previd=341.1775260993.1612*/OU=DFFDFDPA/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-04 00:03:25.739	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000313Z-0237	 [DRRRFDPB  CYSJAENX  KIADMHYA]	 DRRRFDPB	 041203	 DFFDFDPA	  	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000313Z-0237	 adBVTQDboI4d	 	 MTCU-DFFF-1-20260404000313Z-0237:previd=341.1775260993.1613*/OU=DFFDFDPA/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-AFR722/A5355-IS-A359/H-SABDE2E3GHIJ1J2J3J4J5M1P2RWXYZ/LB1D1<CR><LF>-FCBB2132-N0493F380 DCT BZ UG856 LV UB600 EBULI/M085F380 DCT 03N005E<CR><LF> DCT AMPAN/N0492F380 DCT TAMOK DCT MONOS DCT PAMPA UR983 OG UR866<CR><LF> SOLMA/N0487F400 UR866 BULIS/N0492F400 DCT MABAP UR722 SAK UG5<CR><LF> KORIS/N0482F390 DCT SVL/N0480F380 DCT HIJ DCT RUSEM DCT SOTUK DCT<CR><LF> USOKO DCT TLD DCT SIE DCT EDIGO DCT DGO DCT ABRIX DCT CNA DCT<CR><LF> POI/N0481F300 DCT PEPAX UT182 KEPER KEPER9W-LFPG0806 LFPO<CR><LF>-PBN/A1B1C1D1L1O1S2T1 NAV/RNP2 DAT/1FANSE2PDC SUR/260B RSP180<CR><LF> CANMANDATE DOF/260403 REG/FHTYO EET/DGAC0121 DRRR0245 SEL/BFHK<CR><LF> CODE/39CF0E OPR/AFR PER/C RALT/DIAP)
Output	 2026-04-04 00:03:25.819	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000313Z-0237	 [DRRRFDPB]	 DRRRFDPB	 041203	 DFFDFDPA	 AMH	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000313Z-0237	 adBVTQDboI4d	 	 MTCU-DFFF-1-20260404000313Z-0237:previd=341.1775260993.1613*/OU=DFFDFDPA/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:03:55.335	 FF	 341.1775261034.1858	 [GQNNFDPA]	 GQNNFDPA	 041203	 DRRRFDPB	 MTA-GQNO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260404000354Z-4812	 adBVagCVRy3M	 	 MTCU-DRRR-1-20260404000354Z-4812:previd=341.1775261034.1858*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:03:56.437	 FF	 341.1775261034.1860	 [GQNNZQZX]	 GQNNZQZX	 041203	 DRRRFDPB	 MTA-GQNO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260404000354Z-4814	 adBVagCVR0jO	 	 MTCU-DRRR-1-20260404000354Z-4814:previd=341.1775261034.1860*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:03:57.53	 FF	 341.1775261034.1861	 [GQNNZIZX]	 GQNNZIZX	 041203	 DRRRFDPB	 MTA-GQNO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260404000354Z-4815	 adBVagCVR1bP	 	 MTCU-DRRR-1-20260404000354Z-4815:previd=341.1775261034.1861*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:03:58.777	 FF	 341.1775261034.1859	 [GQNNFDPB]	 GQNNFDPB	 041203	 DRRRFDPB	 MTA-GQNO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260404000354Z-4813	 adBVagCVRzrN	 	 MTCU-DRRR-1-20260404000354Z-4813:previd=341.1775261034.1859*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-04 00:04:56.598	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000455Z-0241	 [DRRRZQZX  CYSJAENX  KIADMHYA]	 DRRRZQZX	 041204	 DFFDFDPA	  	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000455Z-0241	 adBVqADboHIh	 	 MTCU-DFFF-1-20260404000455Z-0241:previd=341.1775261095.1617*/OU=DFFDFDPA/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-AFR848/A5374-IS-A332/H-SW/LB1D1-FKKD2239-N0464F380 LAG KILMO<CR><LF> OXIDU OUA NUSUR VOLBU SONKO ONIMI-LFPG0740 LFPO-DOF/260403 REG/FGZCK<CR><LF> EET/DRRR00156)
Output	 2026-04-04 00:04:56.616	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000455Z-0241	 [DRRRZQZX]	 DRRRZQZX	 041204	 DFFDFDPA	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000455Z-0241	 adBVqADboHIh	 	 MTCU-DFFF-1-20260404000455Z-0241:previd=341.1775261095.1617*/OU=DFFDFDPA/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:04:56.878	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000455Z-0241	 [CYSJAENX]	 CYSJAENX	 041204	 DFFDFDPA	 AMH	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000455Z-0241	 adBVqADboHIh	 	 MTCU-DFFF-1-20260404000455Z-0241:previd=341.1775261095.1617*/OU=DFFDFDPA/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
